CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 0.261719 1594659012.8633
MEM 29.277344 1594659012.9639
MEM 54.160156 1594659013.0645
MEM 72.289062 1594659013.1651
MEM 97.500000 1594659013.2658
MEM 115.578125 1594659013.3665
MEM 128.644531 1594659013.4671
MEM 167.882812 1594659013.5677
MEM 184.984375 1594659013.6684
MEM 209.554688 1594659013.7690
MEM 218.320312 1594659013.8697
MEM 228.890625 1594659013.9703
MEM 225.058594 1594659014.0710
MEM 265.531250 1594659014.1716
MEM 301.226562 1594659014.2723
MEM 334.328125 1594659014.3729
MEM 358.046875 1594659014.4736
MEM 364.660156 1594659014.5742
MEM 392.015625 1594659014.6748
MEM 413.289062 1594659014.7755
MEM 419.734375 1594659014.8761
MEM 430.304688 1594659014.9768
MEM 440.875000 1594659015.0774
MEM 418.585938 1594659015.1780
MEM 444.878906 1594659015.2787
MEM 457.277344 1594659015.3793
MEM 474.808594 1594659015.4799
MEM 480.480469 1594659015.5806
MEM 557.050781 1594659015.6812
MEM 529.210938 1594659015.7819
MEM 531.789062 1594659015.8825
MEM 541.375000 1594659015.9831
MEM 551.687500 1594659016.0838
MEM 530.515625 1594659016.1844
MEM 534.890625 1594659016.2851
MEM 553.191406 1594659016.3857
MEM 591.312500 1594659016.4864
MEM 601.109375 1594659016.5870
MEM 606.523438 1594659016.6876
MEM 660.066406 1594659016.7883
MEM 691.527344 1594659016.8889
MEM 696.167969 1594659016.9895
MEM 697.574219 1594659017.0903
MEM 708.832031 1594659017.1909
MEM 719.144531 1594659017.2915
MEM 729.972656 1594659017.3922
MEM 704.089844 1594659017.4928
MEM 716.648438 1594659017.5934
MEM 724.628906 1594659017.6941
MEM 747.316406 1594659017.7947
MEM 750.710938 1594659017.8954
MEM 754.648438 1594659017.9969
MEM 759.031250 1594659018.0975
MEM 762.523438 1594659018.1981
MEM 765.976562 1594659018.2988
MEM 771.226562 1594659018.3994
MEM 781.796875 1594659018.5001
MEM 791.851562 1594659018.6007
MEM 791.851562 1594659018.7014
MEM 797.000000 1594659018.8020
MEM 812.468750 1594659018.9027
MEM 821.750000 1594659019.0033
MEM 954.781250 1594659019.1040
MEM 902.304688 1594659019.2046
MEM 906.687500 1594659019.3053
MEM 910.812500 1594659019.4059
MEM 913.132812 1594659019.5066
MEM 924.992188 1594659019.6072
MEM 946.390625 1594659019.7078
MEM 957.476562 1594659019.8085
MEM 963.406250 1594659019.9091
MEM 963.406250 1594659020.0097
MEM 981.710938 1594659020.1104
MEM 1024.339844 1594659020.2110
MEM 1031.691406 1594659020.3117
MEM 1035.773438 1594659020.4123
MEM 1039.855469 1594659020.5130
MEM 1043.945312 1594659020.6137
MEM 1046.792969 1594659020.7143
MEM 1061.671875 1594659020.8149
MEM 1017.710938 1594659020.9156
MEM 1017.710938 1594659021.0163
MEM 1057.574219 1594659021.1170
MEM 1079.488281 1594659021.2176
MEM 1207.621094 1594659021.3182
MEM 1247.472656 1594659021.4189
MEM 1227.636719 1594659021.5195
MEM 1231.503906 1594659021.6202
MEM 1237.308594 1594659021.7208
MEM 1249.308594 1594659021.8214
MEM 1258.808594 1594659021.9221
MEM 1258.808594 1594659022.0227
MEM 1268.730469 1594659022.1234
MEM 1315.691406 1594659022.2240
MEM 1301.281250 1594659022.3246
MEM 1306.144531 1594659022.4253
MEM 1306.144531 1594659022.5259
MEM 1306.781250 1594659022.6267
MEM 1310.906250 1594659022.7273
MEM 1314.257812 1594659022.8280
MEM 1319.414062 1594659022.9286
MEM 1330.242188 1594659023.0292
MEM 1341.585938 1594659023.1299
MEM 1342.882812 1594659023.2306
MEM 1342.882812 1594659023.3312
MEM 1355.796875 1594659023.4319
MEM 1361.726562 1594659023.5325
MEM 1366.367188 1594659023.6333
MEM 1371.007812 1594659023.7339
MEM 1375.648438 1594659023.8346
MEM 1378.226562 1594659023.9352
MEM 1389.054688 1594659024.0359
MEM 1399.625000 1594659024.1365
MEM 1405.531250 1594659024.2372
MEM 1405.531250 1594659024.3378
MEM 1412.535156 1594659024.4384
MEM 1423.105469 1594659024.5390
MEM 1427.230469 1594659024.6397
MEM 1431.871094 1594659024.7403
MEM 1436.511719 1594659024.8410
MEM 1439.347656 1594659024.9416
MEM 1447.082031 1594659025.0422
MEM 1457.652344 1594659025.1429
MEM 1466.675781 1594659025.2436
MEM 1466.675781 1594659025.3442
MEM 1469.250000 1594659025.4448
MEM 1484.203125 1594659025.5455
MEM 1575.984375 1594659025.6461
MEM 1722.679688 1594659025.7468
MEM 1648.437500 1594659025.8474
MEM 1651.269531 1594659025.9481
MEM 1656.167969 1594659026.0487
MEM 1660.753906 1594659026.1493
MEM 1662.523438 1594659026.2500
MEM 1671.804688 1594659026.3506
MEM 1681.601562 1594659026.4513
MEM 1681.601562 1594659026.5519
MEM 1686.988281 1594659026.6526
MEM 1695.558594 1594659026.7534
MEM 1695.558594 1594659026.8540
MEM 1695.558594 1594659026.9547
MEM 1696.570312 1594659027.0553
MEM 1713.585938 1594659027.1560
MEM 1714.617188 1594659027.2566
MEM 1716.164062 1594659027.3573
MEM 1717.710938 1594659027.4579
MEM 1722.093750 1594659027.5586
MEM 1722.093750 1594659027.6592
MEM 1722.093750 1594659027.7598
MEM 1722.093750 1594659027.8605
MEM 1736.273438 1594659027.9611
MEM 1741.171875 1594659028.0617
MEM 1744.613281 1594659028.1624
